Currently Insured,Number of Vehicles,Number of Drivers,Marital Status,Estimated Competition Average,Bids to get 100 Sales,Bids to get 200 Sales,Bids to get 300 Sales,Bids to get 400 Sales,Bids to get 500 Sales,Bids to get 600 Sales,Bids to get 700 Sales,Bids to get 800 Sales,Bids to get 900 Sales,Bids to get 1000 Sales
Y,1,1,M,22.591512557352907,0.010000014239213498,0.3536708634141601,1.251078317300278,2.190470906065048,3.2408276784982344,4.457002064282325,5.897780836731362,7.674751822887958,9.724289857499198,0.010104038383475037
Y,2,2,M,52.216069811860116,0.010000009669858239,0.010000699848329417,0.5782552293587474,1.7724793465265907,3.096585049723905,4.616923608423152,6.4080767240214405,8.62016081448957,11.204203886396705,16.534824269748622
Y,3,1,S,47.696699900235856,0.010000010304179647,0.0100004078543532,0.010002763921290335,0.12748100662574488,0.8495475555570945,1.67505398527101,2.6423369279117144,0.010565811032454908,5.207348824424994,8.046394520211757
Y,1,2,S,10.269448919754526,0.010000070341717498,0.9644386716160621,1.9272176228093176,2.9506108971940694,4.092135128364673,5.379431234077879,6.828980949173848,8.492901696430234,10.257232385907471,13.372006488438178
Y,2,1,M,49.18475440436826,0.01000001043900489,0.010000683508706283,0.2199268663841573,1.2095582000668375,2.3056586822371514,3.5624018854708503,5.040533868347469,6.863089880034567,8.989788377356977,13.382793515271768
Y,3,2,M,59.044978593347324,0.010000009229495292,0.01000027975102252,0.010002194349959494,0.010003748277282945,0.010013614410516385,0.010023717909197146,0.020256176545132672,0.5619672898530353,0.012978769135142376,0.010169497974596188
Y,1,1,S,10.53571590649661,0.17393956941018768,1.7647919497290976,3.3028157265436633,4.910868683485383,6.6325070114450675,8.4760898132164,10.445515551996538,12.595160032731972,14.77146306819868,18.41398357604736
Y,2,2,S,54.163304805102605,0.010000008788186396,0.010000342687865834,0.01000187486689234,0.01001391464018271,0.27058703136332096,1.0130809533495184,1.8819630567406804,2.9462845950010825,4.178605016119996,6.707392576177343
Y,3,1,M,53.351356855557306,0.010000009117477457,0.010000301928708478,0.010003206432263509,0.010015537794000962,0.3483583559441324,1.1026744944128226,1.9854857402124155,3.067108944015836,4.319982307822693,0.010050976680398229
Y,1,2,M,10.615224124565032,0.010000059442658416,0.9675950411874159,1.9420903050784861,2.9779284153674292,4.134553435989635,5.441364222627246,6.91631704149579,8.613501671349136,10.417233793099118,13.610292263995708
Y,2,1,S,56.35509584769525,0.010000010524486578,0.010000412210158372,0.010004651796528641,0.3696835531304117,1.2939854206580703,2.3511654028597686,3.590618696082131,5.113084641469202,6.882865499933956,10.530933960983731
Y,3,2,S,54.186958020512044,0.010000011106448757,0.01000066269725289,0.36096911465443476,1.5006282203853067,2.763333986168568,4.21177194388437,5.916307361543433,8.019215194157951,10.474243874093858,15.543899056874315
N,1,1,M,22.670992722003586,0.010000028831366399,1.543354741535004,3.257482700030046,5.076030045261765,7.119357077540805,9.461322494643074,12.156947574411408,15.327265774382235,18.76983414158024,25.023838896057878
N,2,2,M,21.154619520853654,0.010000021398604095,1.1304702875546981,2.515114965404827,3.9799889872421166,5.628052490187868,7.529671154094047,9.744107656134886,12.387783088905165,15.30447559944413,20.70998674180565
N,3,1,S,48.53735244795493,0.010000010769182518,0.010000838511648598,0.6093587335693048,1.749420830309524,3.0137999579905985,4.46604032533145,6.177577724239469,8.292073808615807,10.76241799085393,15.855574983192804
N,1,2,S,9.799366934714193,0.09891781097057033,1.4173067182752919,2.689083644824433,4.0297126893662245,5.485712836047795,7.06894729818457,8.784590352261509,10.681989341217937,12.625833570863817,0.010003580946982775
N,2,1,M,60.612577112846196,0.010000011335388704,0.010000681156601828,0.3527983318362197,1.6063792093922087,2.9951260666566153,4.587854313716495,6.461796556956989,8.773111562609467,11.471642207677382,17.043284849507174
N,3,2,M,47.83404340609566,0.010000010881214976,0.2700841076884971,1.8494550122358375,3.4980179334587547,5.335450247170525,7.457583139861947,9.970430295659455,13.080011560189218,16.69725041814246,24.003969194191868
N,1,1,S,20.154246617404084,0.01000005679639785,1.7538563131598113,3.545349489427144,5.449439502864502,7.578661990036751,9.99109782699052,12.723476106530287,15.879185930671172,19.245029827544435,25.228329339972596
N,2,2,S,23.911767459323215,0.010000017890829872,1.0731158649850445,2.4973537761783478,4.00095363041195,5.692127764479072,7.648722859561243,9.94081244158891,12.701217364793962,15.777524238551297,21.554805122058827
N,3,1,M,52.44991007933977,0.010000013724162244,0.4123302843982816,2.2217693805021503,4.111621078910614,6.21951919675449,8.655616488409638,11.54110685837509,15.110198506632857,19.255303737651516,27.59529631853743
N,1,2,M,9.885321261136161,0.1132594434006568,1.4776662171766697,2.794634936492945,4.180761014471916,5.681682552215326,7.308303914295861,9.065369129319098,11.002867407431962,12.982424845168685,16.33023076742427
N,2,1,S,50.91892045685857,0.010000010776140145,0.010000681988451545,0.1188721313272684,1.098139804227473,2.1824362219760784,3.4250816929179604,4.885841572362689,6.685841157151049,8.78490746006244,13.122289407960766
N,3,2,S,47.734642250176066,0.01000000905970603,0.010000378568915483,0.010008260364285626,0.3653922550521491,1.165301245853881,2.080301569371911,3.1532806567484957,0.011312417192024676,6.0047799940737825,9.165293533047018
unknown,1,1,M,5.6925948155432815,0.4398087929246,2.208217798350043,3.830745269578852,5.341327255559251,6.788195362612337,8.1968021416036,9.58385373650157,10.993678961572812,12.338412179759759,14.454399294649134
unknown,2,2,M,5.520097831140629,0.11905117557178792,1.0247010048922442,1.9007645681001741,2.809510898888621,3.771387031678246,4.789855347451686,5.866905034709435,7.032539272956956,8.201998304730791,10.141831076118336
unknown,3,1,S,10.838244808572789,0.03100183176166597,1.2898463223633458,2.4988843062670845,3.781215313095203,5.194769220164501,6.760302070764477,8.487990867726317,10.431872625370879,12.454923938842809,15.948985806419824
unknown,1,2,S,5.658322084994156,0.313554253993992,1.7450864389931098,3.0998876032509766,4.414980722383901,5.716431750338195,7.016850180712725,8.324914340209283,9.677480813920221,10.987692707245333,13.076677284386093
unknown,2,1,M,6.0271413707539,0.37393965337422524,2.004474471617755,3.534644913134251,5.000546285828314,6.435789866182028,7.857597571644651,9.277756637002996,10.738628559570138,12.14397517848258,14.376159260206972
unknown,3,2,M,10.539018653042293,0.10993972636201674,1.5369259655621694,2.913675776026745,4.3644273442276065,5.938862490507785,7.649456913176998,9.501636204571849,11.548532082301781,13.644113999062926,17.195989757196912
unknown,1,1,S,5.370486602900553,0.47610671130709376,2.304251280336918,3.9502117640158168,5.452770424215236,6.87138980076778,8.237089514548343,9.569858683584682,10.915610348738433,12.190206942870361,14.188337245887132
unknown,2,2,S,5.858503355538953,0.24190817250993957,1.5054233546717026,2.718125506642037,3.9296497495632874,5.159573910510703,6.414543093671194,7.699666461256728,9.050370880138265,10.372788653073254,12.509658625743723
unknown,3,1,M,10.135271605563554,0.02824357439286694,1.2035494883735038,2.332293003290868,3.5295149333021003,4.849432697837977,6.311541877597062,7.925412069360604,9.741576579459997,11.63208392799691,14.897769010142614
unknown,1,2,M,5.5493403886736905,0.46745309855892714,2.292678090314136,3.9483265891503265,5.471020305548535,6.916423953941941,8.313743010451727,9.68208214049637,11.066807817997026,12.381776415583357,14.446102379065447
unknown,2,1,S,5.674502456179674,0.28359092224497945,1.637568055749573,2.9268197676253935,4.1921531199874735,5.456151165259978,6.728800531879441,8.017350694168224,9.358261528615001,10.660526086431311,12.747585254756016
